08:03:50 dinner: есть 0, добираю 100
08:05:28 квота, жду 20с…
08:05:48 квота, жду 40с…
08:06:29 квота, жду 80с…
08:07:49 квота, жду 160с…
08:10:29 квота, жду 300с…
08:15:35 квота, жду 300с…
08:20:35 квота, жду 300с…
08:25:36 квота, жду 300с…
08:30:36 квота, жду 20с…
08:30:56 квота, жду 40с…
08:31:37 квота, жду 80с…
08:32:57 квота, жду 160с…
08:35:38 квота, жду 300с…
08:40:38 квота, жду 300с…
08:45:38 квота, жду 300с…
08:50:39 квота, жду 300с…
08:55:39 квота, жду 20с…
08:56:00 квота, жду 40с…
08:56:40 квота, жду 80с…
08:58:00 квота, жду 160с…
09:00:41 квота, жду 300с…
09:05:42 квота, жду 300с…
09:10:42 квота, жду 300с…
09:15:42 квота, жду 300с…
09:20:43 квота, жду 20с…
09:21:03 квота, жду 40с…
09:21:44 квота, жду 80с…
09:23:04 квота, жду 160с…
09:25:44 квота, жду 300с…
09:30:45 квота, жду 300с…
09:35:45 квота, жду 300с…
09:40:46 квота, жду 300с…
09:45:46 квота, жду 20с…
09:46:07 квота, жду 40с…
09:46:47 квота, жду 80с…
09:48:07 квота, жду 160с…
09:50:48 квота, жду 300с…
09:55:48 квота, жду 300с…
10:00:49 квота, жду 300с…
10:05:49 квота, жду 300с…
10:10:50 квота, жду 20с…
10:11:10 квота, жду 40с…
10:11:50 квота, жду 80с…
10:13:11 квота, жду 160с…
10:15:51 квота, жду 300с…
10:21:25 dinner: FS переведено 10/100
10:21:36 квота, жду 20с…
10:21:56 квота, жду 40с…
10:22:36 квота, жду 80с…
10:23:57 квота, жду 160с…
10:26:37 квота, жду 300с…
10:31:38 квота, жду 300с…
10:36:38 квота, жду 300с…
10:41:39 квота, жду 300с…
10:46:39 квота, жду 20с…
10:46:59 квота, жду 40с…
10:47:40 квота, жду 80с…
10:49:00 квота, жду 160с…
10:51:41 квота, жду 300с…
10:56:41 квота, жду 300с…
11:01:42 квота, жду 300с…
11:06:42 квота, жду 300с…
11:11:43 квота, жду 20с…
11:12:03 квота, жду 40с…
11:12:43 квота, жду 80с…
11:14:04 квота, жду 160с…
11:16:44 квота, жду 300с…
11:21:45 квота, жду 300с…
11:26:45 квота, жду 300с…
11:31:46 квота, жду 300с…
11:36:46 квота, жду 20с…
11:37:06 квота, жду 40с…
11:37:47 квота, жду 80с…
11:39:07 квота, жду 160с…
11:41:47 квота, жду 300с…
11:46:48 квота, жду 300с…
11:51:48 квота, жду 300с…
11:56:49 квота, жду 300с…
12:01:49 квота, жду 20с…
12:02:10 квота, жду 40с…
12:02:50 квота, жду 80с…
12:04:10 квота, жду 160с…
12:06:51 квота, жду 300с…
12:11:51 квота, жду 300с…
12:16:52 квота, жду 300с…
12:21:52 квота, жду 300с…
12:26:52 dinner: пакет не получен, пропускаю
12:26:53 квота, жду 20с…
12:27:13 квота, жду 40с…
12:27:53 квота, жду 80с…
12:29:14 квота, жду 160с…
12:31:54 квота, жду 300с…
12:36:55 квота, жду 300с…
12:41:55 квота, жду 300с…
12:46:56 квота, жду 300с…
12:51:56 dinner: пакет не получен, пропускаю
12:51:56 квота, жду 20с…
12:52:16 квота, жду 40с…
12:52:57 квота, жду 80с…
12:54:17 квота, жду 160с…
12:56:58 квота, жду 300с…
13:01:58 квота, жду 300с…
13:06:59 квота, жду 300с…
13:11:59 квота, жду 300с…
13:16:59 dinner: пакет не получен, пропускаю
13:17:00 квота, жду 20с…
13:17:20 квота, жду 40с…
13:18:00 квота, жду 80с…
13:19:21 квота, жду 160с…
13:22:01 квота, жду 300с…
13:27:02 квота, жду 300с…
13:32:02 квота, жду 300с…
13:37:03 квота, жду 300с…
